"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"PRICE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"VALUE";
"1";"";"6_PIN_SERIAL_TARGETSILK";"6_PIN_SERIAL_TARGET_SIDE_W_SILK";"J2";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"CAP_CERAMIC0805";"C0805";"C1, C2, C3, C7";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_02-JST-2-PTH-NO_SILK";"JST-2-PTH-NS";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_03";"1X03";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_04";"1X04";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09696";"";"";"";
"4";"";"LED0805";"CHIPLED_0805";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"D13";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"";"RESISTOR0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uf";"TANTALUM-SMD-10UF-16V-10%(AVX-A)";"AVX-A";"C4, C5, C6";"302020002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TAJA106K016RNJ";"";"";"";"";"";"10uf";
"1";"16HMZ-CSTCE16M0V53-R0";"16HMZ-CSTCE16M0V53-R0";"OSC_CSTCE16M0V53-R0";"Y1";"Ceramic Resonator 16MHz ??0.5% (Tol) ??0.3% (Stability) 15pF 40Ohm 3-Pin CSMD T/R";"";"";"Unavailable";"";" 16MHz Ceramic Resonator Built in Capacitor 15pF ±0.3% -20°C ~ 80°C Surface Mount ";"";"";"";"";"";"Murata";"";"";"CSTCE16M0V53-R0";"";"SMD-3 Murata";"None";"";"";"";"";
"4";"2p-2.54";"DIP-BLACK-FEMALE-HEADER-VERT(2P-2.54)";"H2-2.54-F";"BL, BR, FL, FR";"320030023";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"F185-1102A1BSYA1";"";"";"";"";"";"2p-2.54";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"Popular 328P in QFP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09069";"";"";"ATMEGA328P_TQFP";
"1";"CMI-9655S-SMT";"CMI-9655S-SMT";"CUI_CMI-9655S-SMT";"LS1";"9.6 mm, 5 Vdc, 85 dB, 2.7 kHz, Surface Mount (SMT), Driving Circuit, Magnetic Audio Indicator Buzzer";"";"";"Unavailable";"https://www.cuidevices.com/product/audio/buzzers/audio-indicators/cmi-9655s-smt-tr?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"9.6 mm, 5 Vdc, 85 dB, 2.7 kHz, Surface Mount (SMT), Driving Circuit, Magnetic Audio Indicator Buzzer";"";"";"";"";"";"CUI Devices";"";"";"CMI-9655S-SMT-TR";"";" CUI Inc.";"None";"";"";"";"";
"1";"GY-521MPU6050";"GY-521MPU6050";"GY-521";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP1700T-3302E/MB";"MCP1700T-3302E/MB";"MCP1700T-3302E/MB";"U3";"250mA CMOS LDO, Isupply 1uA and 2% Vout Accuracy 3 SOT-89 T/R";"";"";"Unavailable";"";"  Linear Voltage Regulator IC 1 Output 250mA SOT-89-3 ";"";"";"";"";"";"Microchip";"";"";"MCP1700T-3302E/MB";"";"SOT-89 Microchip";"None";"";"";"";"";
"4";"MICRO-DC-MOTOR-WITH-PROP";"MICRO-DC-MOTOR-WITH-PROP";"MICRO-DC";"U$1, U$2, U$3, U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OS102011MS2QN1";"OS102011MS2QN1";"SW_OS102011MS2QN1";"S1";"Switch Slide ON ON SPDT Top Slide 0.1A 12VDC 10000Cycles PC Pins Thru-Hole Bulk";"";"";"";"";" SLIDE SWITCH SPDT T/H ON-ON BBM ";"CKN12284-ND";"https://snapeda.com/shop?store=DigiKey&id=391519";"";"";"";"C&K";"";"";"OS102011MS2QN1";"";"None";"";"";"";"";"";
"6";"SI2302DDS-T1-GE3";"SI2302DDS-T1-GE3";"SOT95P237X112-3N";"Q1, Q2, Q3, Q4, Q5, Q6";"SI2302DDS-T1-GE3 N-Channel MOSFET, 2.6 A, 20 V, 3-Pin SOT-363 Vishay";"70459664";"https://www.alliedelec.com/siliconix-vishay-si2302dds-t1-ge3/70459664/";"";"";"SI2302DDS-T1-GE3 N-Channel MOSFET, 2.6 A, 20 V, 3-Pin SOT-363 Vishay";"";"";"1.12mm";"Vishay";"SI2302DDS-T1-GE3";"";"78-SI2302DDS-T1-GE3";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SI2302DDS-T1-GE3?qs=MxnWX8BLHKdaCSNWhg%252BxLA%3D%3D";"";"";"";"";"";"1526358P";"http://uk.rs-online.com/web/p/products/1526358P";"";
"4";"SS12";"SS12";"DIOM5227X250N";"D1, D2, D3, D4";"ON Semi SS12 SMT Schottky Diode, 20V 1A, 2-Pin DO-214AC";"";"";"";"";"ON Semi SS12 SMT Schottky Diode, 20V 1A, 2-Pin DO-214AC";"";"";"2.5mm";"ON Semiconductor";"SS12";"";"512-SS12";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/SS12?qs=mVVXn4M53U9WoaEpU1CO0A%3D%3D";"";"";"";"";"";"9034428";"https://uk.rs-online.com/web/p/products/9034428";"";
"1";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"M1";"2.4 GHz Wireless Module based on NRF24L01 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
